rank,name,country,overall_score,research_qlt_score,industry_score,intl_outlook_score,research_env_score,teaching_score
801–1000,Savitribai Phule Pune University,India,34.5–38.1,60.3,29.9,24.6,8.7,41.5
801–1000,Shahid Beheshti University,Iran,34.5–38.1,47.3,57.5,29.0,25.1,31.0
801–1000,Shahrekord University of Medical Sciences,Iran,34.5–38.1,66.7,19.3,22.1,10.9,32.0
801–1000,Sheffield Hallam University,United Kingdom,34.5–38.1,62.0,33.7,72.0,14.0,18.9
801–1000,Shiraz University,Iran,34.5–38.1,53.8,62.3,31.4,24.6,26.4
801–1000,Shiraz University of Medical Sciences,Iran,34.5–38.1,55.2,31.4,24.8,14.2,46.1
801–1000,Shri Mata Vaishno Devi University,India,34.5–38.1,71.8,21.1,24.5,17.7,23.6
801–1000,Siksha ‘O’ Anusandhan,India,34.5–38.1,46.5,47.0,21.2,18.8,44.5
801–1000,Sogang University,South Korea,34.5–38.1,39.2,73.6,42.5,32.1,29.4
801–1000,Southern Illinois University Carbondale,United States,34.5–38.1,43.3,76.7,40.7,23.6,37.1
801–1000,Southwest Jiaotong University,China,34.5–38.1,57.5,87.3,22.0,22.8,26.4
801–1000,Sumy State University,Ukraine,34.5–38.1,69.8,22.4,57.8,15.5,17.9
801–1000,Teesside University,United Kingdom,34.5–38.1,68.8,28.2,86.9,14.2,19.0
801–1000,The Islamia University of Bahawalpur,Pakistan,34.5–38.1,75.7,20.7,48.6,12.4,18.0
801–1000,The Open University,United Kingdom,34.5–38.1,67.5,48.4,63.3,15.2,17.0
801–1000,The University of Alabama,United States,34.5–38.1,61.3,46.1,38.9,22.1,27.1
801–1000,Tokyo Medical University,Japan,34.5–38.1,53.1,69.5,21.2,17.0,35.3
801–1000,Tomsk Polytechnic UniversityRussian Federation,Russian Federation,34.5–38.1,32.3,61.3,72.1,26.0,42.5
801–1000,Universidade Estadual Paulista (Unesp),Brazil,34.5–38.1,36.8,48.3,38.8,32.9,41.6
801–1000,Universidade Federal de São Paulo (UNIFESP),Brazil,34.5–38.1,44.6,55.0,35.4,23.3,32.4
801–1000,Universitat Internacional de Catalunya,Spain,34.5–38.1,57.1,23.9,69.5,16.5,22.6
801–1000,Universitat Ramon Llull,Spain,34.5–38.1,65.5,34.1,75.9,17.2,19.8
801–1000,Université de Bretagne Occidentale,France,34.5–38.1,52.1,45.3,62.1,19.4,26.4
801–1000,Universiti Teknologi Brunei,Brunei Darussalam,34.5–38.1,62.0,25.2,73.1,13.4,28.5
801–1000,University of Alcalá,Spain,34.5–38.1,53.6,43.3,58.5,17.0,27.5
801–1000,University of Camerino (Unicam),Italy,34.5–38.1,58.3,56.8,52.5,18.3,18.9
801–1000,University of Campania Luigi Vanvitelli,Italy,34.5–38.1,75.5,47.0,30.6,10.0,24.3
801–1000,University of Cape Coast,Ghana,34.5–38.1,67.3,37.0,45.7,21.6,17.7
801–1000,University of Castilla-La Mancha,Spain,34.5–38.1,55.7,55.0,44.5,18.5,24.0
801–1000,University of Lancashire,United Kingdom,34.5–38.1,57.3,37.3,83.3,13.7,19.1
801–1000,University of Central Punjab,Pakistan,34.5–38.1,78.4,19.2,49.0,10.5,13.4
801–1000,University of Clermont Auvergne,France,34.5–38.1,52.1,59.7,67.8,18.4,20.9
801–1000,University of Córdoba,Spain,34.5–38.1,62.1,43.3,52.3,20.4,25.9
801–1000,University of Debrecen,Hungary,34.5–38.1,40.9,48.8,60.0,19.9,42.2
801–1000,University of Delhi,India,34.5–38.1,43.2,53.2,23.8,27.5,41.2
801–1000,"University of Engineering and Technology, Peshawar",Pakistan,34.5–38.1,63.4,26.3,49.6,12.0,28.5
801–1000,University of Foggia,Italy,34.5–38.1,64.0,35.7,30.8,25.8,15.9
801–1000,University of Girona,Spain,34.5–38.1,53.4,50.4,56.8,24.0,22.1
801–1000,University of Gujrat,Pakistan,34.5–38.1,78.5,23.0,46.9,12.9,13.6
801–1000,University of Indonesia,Indonesia,34.5–38.1,33.3,59.0,64.2,23.9,45.6
801–1000,University of Jaén,Spain,34.5–38.1,69.6,36.6,45.8,20.8,20.9
801–1000,University of Kashan,Iran,34.5–38.1,67.7,28.0,33.2,17.8,28.2
801–1000,University of Lahore,Pakistan,34.5–38.1,76.9,19.5,54.2,11.3,19.1
801–1000,University of Ljubljana,Slovenia,34.5–38.1,54.9,68.5,42.3,21.5,25.9
801–1000,University of Lleida,Spain,34.5–38.1,62.5,59.3,45.4,22.9,21.1
801–1000,University of Malta,Malta,34.5–38.1,61.0,33.3,57.8,17.3,23.9
801–1000,University of Management and Technology,Pakistan,34.5–38.1,82.2,26.3,51.3,10.7,16.6
801–1000,University of Medicine and Pharmacy Carol Davila,Romania,34.5–38.1,67.6,28.1,37.6,11.6,26.3
801–1000,University of Memphis,United States,34.5–38.1,50.2,62.0,37.1,19.5,30.7
